1;bulbasaur;7;69;64;overgrow|chlorophyll;razor-wind|swords-dance|cut|bind|vine-whip|headbutt|tackle|body-slam|take-down|double-edge|growl|strength|mega-drain|leech-seed|growth|razor-leaf|solar-beam|poison-powder|sleep-powder|petal-dance|string-shot|toxic|rage|mimic|double-team|defense-curl|light-screen|reflect|bide|sludge|skull-bash|amnesia|flash|rest|substitute|snore|curse|protect|sludge-bomb|mud-slap|outrage|giga-drain|endure|charm|false-swipe|swagger|fury-cutter|attract|sleep-talk|return|frustration|safeguard|sweet-scent|synthesis|hidden-power|sunny-day|rock-smash|facade|nature-power|helping-hand|ingrain|knock-off|secret-power|weather-ball|grass-whistle|bullet-seed|magical-leaf|natural-gift|worry-seed|seed-bomb|energy-ball|leaf-storm|power-whip|captivate|grass-knot|venoshock|round|echoed-voice|grass-pledge|work-up|grassy-terrain|confide|grassy-glide;grass|poison
2;ivysaur;10;130;142;overgrow|chlorophyll;swords-dance|cut|bind|vine-whip|headbutt|tackle|body-slam|take-down|double-edge|growl|strength|mega-drain|leech-seed|growth|razor-leaf|solar-beam|poison-powder|sleep-powder|string-shot|toxic|rage|mimic|double-team|defense-curl|light-screen|reflect|bide|amnesia|flash|rest|substitute|snore|curse|protect|sludge-bomb|mud-slap|outrage|giga-drain|endure|charm|false-swipe|swagger|fury-cutter|attract|sleep-talk|return|frustration|safeguard|sweet-scent|synthesis|hidden-power|sunny-day|rock-smash|facade|nature-power|helping-hand|knock-off|secret-power|weather-ball|bullet-seed|magical-leaf|natural-gift|worry-seed|seed-bomb|energy-ball|leaf-storm|power-whip|captivate|grass-knot|venoshock|round|echoed-voice|grass-pledge|work-up|grassy-terrain|confide|grassy-glide;grass|poison
3;venusaur;20;1000;263;overgrow|chlorophyll;swords-dance|cut|bind|vine-whip|headbutt|tackle|body-slam|take-down|double-edge|growl|roar|hyper-beam|strength|mega-drain|leech-seed|growth|razor-leaf|solar-beam|poison-powder|sleep-powder|petal-dance|string-shot|earthquake|toxic|rage|mimic|double-team|defense-curl|light-screen|reflect|bide|amnesia|flash|rest|substitute|snore|curse|protect|sludge-bomb|mud-slap|outrage|giga-drain|endure|charm|false-swipe|swagger|fury-cutter|attract|sleep-talk|return|frustration|safeguard|sweet-scent|synthesis|hidden-power|sunny-day|rock-smash|facade|nature-power|helping-hand|knock-off|secret-power|weather-ball|bullet-seed|block|frenzy-plant|magical-leaf|natural-gift|worry-seed|seed-bomb|energy-ball|earth-power|giga-impact|rock-climb|leaf-storm|power-whip|captivate|grass-knot|venoshock|round|echoed-voice|grass-pledge|bulldoze|work-up|petal-blizzard|grassy-terrain|confide|stomping-tantrum|grassy-glide|terrain-pulse;grass|poison
4;charmander;6;85;62;blaze|solar-power;mega-punch|fire-punch|thunder-punch|scratch|swords-dance|cut|wing-attack|mega-kick|headbutt|body-slam|take-down|double-edge|leer|bite|growl|roar|ember|flamethrower|submission|counter|seismic-toss|strength|dragon-rage|fire-spin|dig|toxic|rage|mimic|double-team|smokescreen|defense-curl|reflect|bide|fire-blast|swift|skull-bash|fury-swipes|rest|rock-slide|slash|substitute|snore|curse|protect|scary-face|belly-drum|mud-slap|outrage|endure|false-swipe|swagger|fury-cutter|attract|sleep-talk|return|frustration|dynamic-punch|dragon-breath|iron-tail|metal-claw|hidden-power|sunny-day|crunch|ancient-power|rock-smash|beat-up|heat-wave|will-o-wisp|facade|focus-punch|helping-hand|brick-break|secret-power|weather-ball|air-cutter|overheat|rock-tomb|aerial-ace|dragon-claw|dragon-dance|natural-gift|fling|flare-blitz|dragon-pulse|dragon-rush|focus-blast|shadow-claw|fire-fang|captivate|hone-claws|flame-burst|flame-charge|round|echoed-voice|incinerate|acrobatics|inferno|fire-pledge|dragon-tail|work-up|confide|power-up-punch|tera-blast;fire
5;charmeleon;11;190;142;blaze|solar-power;mega-punch|fire-punch|thunder-punch|scratch|swords-dance|cut|mega-kick|headbutt|body-slam|take-down|double-edge|leer|growl|roar|ember|flamethrower|submission|counter|seismic-toss|strength|dragon-rage|fire-spin|dig|toxic|rage|mimic|double-team|smokescreen|defense-curl|reflect|bide|fire-blast|swift|skull-bash|fury-swipes|rest|rock-slide|slash|substitute|snore|curse|protect|scary-face|mud-slap|outrage|endure|false-swipe|swagger|fury-cutter|attract|sleep-talk|return|frustration|dynamic-punch|dragon-breath|iron-tail|metal-claw|hidden-power|sunny-day|crunch|rock-smash|beat-up|heat-wave|will-o-wisp|facade|focus-punch|helping-hand|brick-break|secret-power|weather-ball|overheat|rock-tomb|aerial-ace|dragon-claw|dragon-dance|natural-gift|fling|flare-blitz|dragon-pulse|shadow-claw|fire-fang|captivate|hone-claws|flame-burst|flame-charge|round|echoed-voice|incinerate|acrobatics|inferno|fire-pledge|dragon-tail|work-up|confide|power-up-punch|tera-blast;fire
6;charizard;17;905;267;blaze|solar-power;mega-punch|fire-punch|thunder-punch|scratch|swords-dance|cut|wing-attack|fly|mega-kick|headbutt|body-slam|take-down|double-edge|leer|growl|roar|ember|flamethrower|hyper-beam|submission|counter|seismic-toss|strength|solar-beam|dragon-rage|fire-spin|earthquake|fissure|dig|toxic|rage|mimic|double-team|smokescreen|defense-curl|reflect|bide|fire-blast|swift|skull-bash|fury-swipes|rest|rock-slide|slash|substitute|snore|curse|protect|scary-face|mud-slap|outrage|sandstorm|endure|false-swipe|swagger|fury-cutter|steel-wing|attract|sleep-talk|return|frustration|dynamic-punch|dragon-breath|iron-tail|metal-claw|hidden-power|twister|sunny-day|crunch|rock-smash|beat-up|heat-wave|will-o-wisp|facade|focus-punch|helping-hand|brick-break|secret-power|blaze-kick|blast-burn|weather-ball|air-cutter|overheat|rock-tomb|aerial-ace|dragon-claw|dragon-dance|roost|natural-gift|tailwind|fling|flare-blitz|air-slash|dragon-pulse|focus-blast|giga-impact|shadow-claw|fire-fang|defog|captivate|ominous-wind|hone-claws|flame-burst|flame-charge|round|echoed-voice|sky-drop|incinerate|acrobatics|inferno|fire-pledge|bulldoze|dragon-tail|work-up|heat-crash|hurricane|confide|mystical-fire|power-up-punch|brutal-swing|breaking-swipe|scale-shot|dual-wingbeat|scorching-sands|tera-blast;fire|flying
7;squirtle;5;90;63;torrent|rain-dish;mega-punch|ice-punch|mega-kick|headbutt|tackle|body-slam|take-down|double-edge|tail-whip|bite|mist|water-gun|hydro-pump|surf|ice-beam|blizzard|bubble-beam|submission|counter|seismic-toss|strength|dig|toxic|confusion|rage|mimic|double-team|withdraw|defense-curl|haze|reflect|bide|waterfall|skull-bash|bubble|rest|rock-slide|substitute|snore|curse|flail|protect|mud-slap|foresight|icy-wind|outrage|endure|rollout|false-swipe|swagger|attract|sleep-talk|return|frustration|dynamic-punch|rapid-spin|iron-tail|hidden-power|rain-dance|mirror-coat|rock-smash|whirlpool|fake-out|hail|facade|focus-punch|follow-me|helping-hand|brick-break|yawn|refresh|secret-power|dive|mud-sport|weather-ball|rock-tomb|water-spout|muddy-water|iron-defense|water-pulse|gyro-ball|brine|natural-gift|fling|aqua-ring|aura-sphere|aqua-tail|dragon-pulse|zen-headbutt|captivate|aqua-jet|round|scald|shell-smash|water-pledge|work-up|confide|power-up-punch|life-dew|flip-turn;water
8;wartortle;10;225;142;torrent|rain-dish;mega-punch|ice-punch|mega-kick|headbutt|tackle|body-slam|take-down|double-edge|tail-whip|bite|water-gun|hydro-pump|surf|ice-beam|blizzard|bubble-beam|submission|counter|seismic-toss|strength|dig|toxic|rage|mimic|double-team|withdraw|defense-curl|reflect|bide|waterfall|skull-bash|bubble|rest|rock-slide|substitute|snore|curse|protect|mud-slap|icy-wind|outrage|endure|rollout|false-swipe|swagger|attract|sleep-talk|return|frustration|dynamic-punch|rapid-spin|iron-tail|hidden-power|rain-dance|rock-smash|whirlpool|hail|facade|focus-punch|helping-hand|brick-break|secret-power|dive|weather-ball|rock-tomb|muddy-water|iron-defense|water-pulse|gyro-ball|brine|natural-gift|fling|aura-sphere|aqua-tail|dragon-pulse|zen-headbutt|captivate|round|scald|shell-smash|water-pledge|work-up|confide|power-up-punch|flip-turn;water
9;blastoise;16;855;265;torrent|rain-dish;mega-punch|ice-punch|mega-kick|headbutt|tackle|body-slam|take-down|double-edge|tail-whip|bite|roar|water-gun|hydro-pump|surf|ice-beam|blizzard|bubble-beam|hyper-beam|submission|counter|seismic-toss|strength|earthquake|fissure|dig|toxic|rage|mimic|double-team|withdraw|defense-curl|reflect|bide|waterfall|skull-bash|bubble|rest|rock-slide|substitute|snore|curse|protect|mud-slap|icy-wind|outrage|endure|rollout|false-swipe|swagger|attract|sleep-talk|return|frustration|dynamic-punch|rapid-spin|iron-tail|hidden-power|rain-dance|crunch|rock-smash|whirlpool|fake-out|hail|facade|focus-punch|helping-hand|brick-break|secret-power|dive|hydro-cannon|weather-ball|rock-tomb|signal-beam|muddy-water|iron-defense|water-pulse|gyro-ball|brine|natural-gift|fling|aura-sphere|dark-pulse|aqua-tail|dragon-pulse|focus-blast|giga-impact|avalanche|zen-headbutt|flash-cannon|rock-climb|captivate|aqua-jet|smack-down|round|scald|shell-smash|water-pledge|bulldoze|dragon-tail|work-up|confide|power-up-punch|liquidation|body-press|terrain-pulse|flip-turn;water
10;caterpie;3;29;39;shield-dust|run-away;tackle|string-shot|snore|bug-bite|electroweb;bug
